date,location,today+0,today+1,today+2,today+3,today+4,today+5,today+6
2020-10-22,FallsCreek,13,13,10,2,2,4,9
2020-10-22,LakeEildon,24,23,18,14,17,18,21
2020-10-22,Melbourne,18,23,16,14,17,18,19
2020-10-22,Mildura,31,25,20,17,18,21,23
2020-10-22,WilsonsProm,15,17,15,13,14,15,15
2020-10-23,Corryong,26,22,16,19,18,22,23
2020-10-23,FallsCreek,13,10,2,2,4,9,10
2020-10-23,LakeEildon,23,18,14,17,18,21,21
2020-10-23,Melbourne,23,16,14,17,18,19,20
2020-10-23,Mildura,25,20,17,18,21,23,25
2020-10-23,WilsonsProm,17,15,13,14,15,15,16
2020-10-24,Corryong,22,16,19,18,22,23,23
2020-10-24,FallsCreek,10,2,2,4,9,10,9
2020-10-24,LakeEildon,18,14,17,18,21,21,22
2020-10-24,Melbourne,16,14,17,18,19,20,18
2020-10-24,Mildura,20,17,18,21,23,25,23
2020-10-24,WilsonsProm,15,13,14,15,15,16,16
2020-10-25,Corryong,17,17,19,22,23,23,23
2020-10-25,FallsCreek,3,3,5,9,10,9,9
2020-10-25,LakeEildon,15,17,19,21,21,22,22
2020-10-25,Melbourne,13,17,18,19,20,18,19
2020-10-25,Mildura,18,17,19,23,25,23,24
2020-10-25,WilsonsProm,13,14,14,15,16,16,15
2020-10-26,Corryong,17,19,22,23,23,20,22
2020-10-26,FallsCreek,3,5,8,10,10,7,9
2020-10-26,LakeEildon,17,18,20,21,21,20,21
2020-10-26,Melbourne,17,17,18,19,18,18,19
2020-10-26,Mildura,16,19,24,25,19,23,25
2020-10-26,WilsonsProm,14,14,15,15,16,16,16
2020-10-27,Melbourne,18,19,19,18,17,20,23
2020-10-28,Melbourne,20,21,20,18,19,24,27
