date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'high', 'end_time': '2020-10-13T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-12T22:40:00Z'}","{'sunrise_time': '2020-10-12T19:32:19Z', 'sunset_time': '2020-10-13T08:31:40Z'}",2020-10-12T13:00:00Z,15,,"Partly cloudy. Medium (50%) chance of drizzle about the ranges, slight (20%) chance elsewhere. The chance of a thunderstorm about the ranges. Winds easterly 15 to 25 km/h.",mostly_sunny,,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 10, 'temp_later': 17}"
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 30}","{'category': 'high', 'end_time': '2020-10-14T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-13T22:40:00Z'}","{'sunrise_time': '2020-10-13T19:30:50Z', 'sunset_time': '2020-10-14T08:32:41Z'}",2020-10-13T13:00:00Z,17,10.0,"Partly cloudy. Medium (40%) chance of drizzle, most likely in the morning. Areas of early fog about the ranges. The chance of thunderstorms with little or no rainfall about the ranges in the afternoon and evening. Winds northeast to southeasterly 20 to 30 km/h becoming light in the evening. Overnight temperatures falling to between 7 and 10 with daytime temperatures reaching between 18 and 23.",windy,,Low-Moderate,
2020-10-14T13:00:00Z,"{'amount': {'min': 3, 'max': 8, 'units': 'mm'}, 'chance': 95}","{'category': 'high', 'end_time': '2020-10-15T05:00:00Z', 'max_index': 6, 'start_time': '2020-10-14T22:50:00Z'}","{'sunrise_time': '2020-10-14T19:29:21Z', 'sunset_time': '2020-10-15T08:33:41Z'}",2020-10-14T13:00:00Z,24,13.0,Partly cloudy. Very high (90%) chance of showers in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Winds north to northwesterly 20 to 30 km/h increasing to 35 km/h before turning west to southwesterly 15 to 25 km/h during the afternoon and evening. Overnight temperatures falling to between 10 and 13 with daytime temperatures reaching 22 to 29.,shower,,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': 'high', 'end_time': '2020-10-16T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-15T22:40:00Z'}","{'sunrise_time': '2020-10-15T19:27:54Z', 'sunset_time': '2020-10-16T08:34:43Z'}",2020-10-15T13:00:00Z,15,9.0,"Cloudy. High (70%) chance of showers about the ranges, medium (50%) chance elsewhere. Winds southwesterly 15 to 25 km/h shifting east to southeasterly during the morning then becoming easterly 25 to 35 km/h during the day. Overnight temperatures falling to between 6 and 9 with daytime temperatures reaching between 12 and 17.",shower,,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 3, 'max': 10, 'units': 'mm'}, 'chance': 70}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-16T19:26:27Z', 'sunset_time': '2020-10-17T08:35:44Z'}",2020-10-16T13:00:00Z,16,11.0,"Cloudy. High (70%) chance of showers, most likely in the morning and afternoon. The chance of a thunderstorm in the afternoon and evening. Winds northeast to southeasterly 20 to 30 km/h decreasing to 15 to 20 km/h during the afternoon. Overnight temperatures falling to between 7 and 10 with daytime temperatures reaching between 15 and 19.",shower,,Low-Moderate,
2020-10-17T13:00:00Z,"{'amount': {'min': 2, 'max': 6, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:25:02Z', 'sunset_time': '2020-10-18T08:36:46Z'}",2020-10-17T13:00:00Z,17,11.0,,shower,,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:23:37Z', 'sunset_time': '2020-10-19T08:37:49Z'}",2020-10-18T13:00:00Z,16,10.0,,shower,,,
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-19T19:22:13Z', 'sunset_time': '2020-10-20T08:38:52Z'}",2020-10-19T13:00:00Z,16,9.0,,shower,,,
