date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': 4, 'units': 'mm'}, 'chance': 60}","{'category': 'veryhigh', 'end_time': '2020-10-25T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-24T22:20:00Z'}","{'sunrise_time': '2020-10-24T19:14:51Z', 'sunset_time': '2020-10-25T08:37:26Z'}",2020-10-24T13:00:00Z,3,-4,"Cloudy. Medium (60%) chance of snow showers, most likely during this afternoon and evening. Winds southeasterly 30 to 45 km/h.",snow,Snow shower or two.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 3, 'temp_later': -4}"
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': 'veryhigh', 'end_time': '2020-10-26T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-25T22:20:00Z'}","{'sunrise_time': '2020-10-25T19:13:39Z', 'sunset_time': '2020-10-26T08:38:26Z'}",2020-10-25T13:00:00Z,3,-4,Cloudy. Medium (50%) chance of snow showers. Winds southeasterly 30 to 45 km/h.,snow,Snow shower or two. Windy.,Low-Moderate,
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': 'veryhigh', 'end_time': '2020-10-27T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-26T22:20:00Z'}","{'sunrise_time': '2020-10-26T19:12:28Z', 'sunset_time': '2020-10-27T08:39:27Z'}",2020-10-26T13:00:00Z,6,-2,Cloudy. Medium (40%) chance of showers or snow. Winds east to southeasterly 25 to 35 km/h.,snow,Possible showers or snow.,Low-Moderate,
2020-10-27T13:00:00Z,"{'amount': {'min': 2, 'max': 5, 'units': 'mm'}, 'chance': 80}","{'category': 'veryhigh', 'end_time': '2020-10-28T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-27T22:20:00Z'}","{'sunrise_time': '2020-10-27T19:11:18Z', 'sunset_time': '2020-10-28T08:40:28Z'}",2020-10-27T13:00:00Z,9,0,"Partly cloudy. High (80%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the late morning and afternoon. Winds easterly 15 to 20 km/h becoming light during the morning.",shower,Showers increasing.,Low-Moderate,
2020-10-28T13:00:00Z,"{'amount': {'min': 3, 'max': 8, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-28T19:10:09Z', 'sunset_time': '2020-10-29T08:41:29Z'}",2020-10-28T13:00:00Z,10,2,Partly cloudy. High (80%) chance of showers. Winds easterly 15 to 20 km/h tending northwest to southwesterly during the morning.,shower,Showers increasing.,,
2020-10-29T13:00:00Z,"{'amount': {'min': 5, 'max': 10, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-29T19:09:02Z', 'sunset_time': '2020-10-30T08:42:30Z'}",2020-10-29T13:00:00Z,9,3,Cloudy. High (80%) chance of showers. The chance of a thunderstorm. Winds northerly 15 to 20 km/h shifting southeasterly 20 to 25 km/h during the morning.,shower,Showers increasing.,,
2020-10-30T13:00:00Z,"{'amount': {'min': 0, 'max': 8, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-30T19:07:56Z', 'sunset_time': '2020-10-31T08:43:32Z'}",2020-10-30T13:00:00Z,9,2,Partly cloudy. Medium (50%) chance of showers. Winds southeasterly 25 to 30 km/h decreasing to 15 to 20 km/h during the day.,shower,Shower or two.,,
