date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 30}","{'category': 'veryhigh', 'end_time': '2020-10-26T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-25T22:30:00Z'}","{'sunrise_time': '2020-10-25T19:18:25Z', 'sunset_time': '2020-10-26T08:44:11Z'}",2020-10-25T13:00:00Z,15,7,Cloudy. Slight (30%) chance of a shower. Snow possible above 1300 metres. Winds southeasterly 20 to 30 km/h. Daytime maximum temperatures between 9 and 19.,mostly_sunny,Partly cloudy.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 15, 'temp_later': 7}"
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'high', 'end_time': '2020-10-27T05:30:00Z', 'max_index': 7, 'start_time': '2020-10-26T22:30:00Z'}","{'sunrise_time': '2020-10-26T19:17:13Z', 'sunset_time': '2020-10-27T08:45:12Z'}",2020-10-26T13:00:00Z,16,7,Cloudy. Slight (30%) chance of a shower. Snow possible above 1500 metres. Winds southeasterly 15 to 20 km/h becoming light early in the morning. Overnight temperatures falling to between 4 and 8 with daytime temperatures reaching between 11 and 19.,cloudy,Cloudy.,Low-Moderate,
2020-10-27T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': 'veryhigh', 'end_time': '2020-10-28T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-27T22:30:00Z'}","{'sunrise_time': '2020-10-27T19:16:03Z', 'sunset_time': '2020-10-28T08:46:14Z'}",2020-10-27T13:00:00Z,18,7,Partly cloudy. Medium (60%) chance of showers. Snow possible above 1800 metres. The chance of a thunderstorm in the afternoon and evening. Light winds. Overnight temperatures falling to between 5 and 8 with daytime temperatures reaching between 14 and 21.,shower,Shower or two.,Low-Moderate,
2020-10-28T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 60}","{'category': 'veryhigh', 'end_time': '2020-10-29T05:40:00Z', 'max_index': 8, 'start_time': '2020-10-28T22:20:00Z'}","{'sunrise_time': '2020-10-28T19:14:53Z', 'sunset_time': '2020-10-29T08:47:16Z'}",2020-10-28T13:00:00Z,19,7,"Mostly sunny morning. Patchy morning fog in the north. Medium (60%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon. Light winds. Overnight temperatures falling to between 5 and 8 with daytime temperatures reaching between 16 and 22.",shower,Shower or two.,Low-Moderate,
2020-10-29T13:00:00Z,"{'amount': {'min': 4, 'max': 10, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-29T19:13:45Z', 'sunset_time': '2020-10-30T08:48:18Z'}",2020-10-29T13:00:00Z,19,9,,shower,Showers.,,
2020-10-30T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-30T19:12:38Z', 'sunset_time': '2020-10-31T08:49:21Z'}",2020-10-30T13:00:00Z,18,8,,shower,Shower or two.,,
2020-10-31T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-31T19:11:33Z', 'sunset_time': '2020-11-01T08:50:24Z'}",2020-10-31T13:00:00Z,19,10,,mostly_sunny,Partly cloudy.,,
