date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': 'veryhigh', 'end_time': '2020-10-14T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-13T22:30:00Z'}","{'sunrise_time': '2020-10-13T19:27:19Z', 'sunset_time': '2020-10-14T08:23:46Z'}",2020-10-13T13:00:00Z,26,9,"Partly cloudy. Areas of fog early this morning. Slight (20%) chance of rain in the east, near zero chance elsewhere. The chance of a thunderstorm with little or no rainfall during this afternoon and evening. Light winds. Daytime maximum temperatures between 19 and 25.",shower,Possible afternoon shower.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 26, 'temp_later': 10}"
2020-10-14T13:00:00Z,"{'amount': {'min': 3, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': 'veryhigh', 'end_time': '2020-10-15T05:10:00Z', 'max_index': 8, 'start_time': '2020-10-14T22:30:00Z'}","{'sunrise_time': '2020-10-14T19:25:58Z', 'sunset_time': '2020-10-15T08:24:40Z'}",2020-10-14T13:00:00Z,27,10,"Mostly sunny morning. Areas of fog in the north in the early morning. Very high (90%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Winds east to northeasterly 15 to 20 km/h turning north to northwesterly 15 to 25 km/h in the late morning. Overnight temperatures falling to between 9 and 12 with daytime temperatures reaching 20 to 28.",shower,Showers increasing.,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 6, 'max': 10, 'units': 'mm'}, 'chance': 95}","{'category': 'high', 'end_time': '2020-10-16T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-15T22:40:00Z'}","{'sunrise_time': '2020-10-15T19:24:38Z', 'sunset_time': '2020-10-16T08:25:34Z'}",2020-10-15T13:00:00Z,21,14,"Cloudy. Very high (90%) chance of showers in the east, high (70%) chance elsewhere. Winds south to southwesterly 15 to 20 km/h turning east to southeasterly during the morning. Overnight temperatures falling to between 7 and 13 with daytime temperatures reaching between 14 and 21.",shower,Showers.,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 6, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': 'high', 'end_time': '2020-10-17T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-16T22:30:00Z'}","{'sunrise_time': '2020-10-16T19:23:18Z', 'sunset_time': '2020-10-17T08:26:28Z'}",2020-10-16T13:00:00Z,21,11,Cloudy. Very high (90%) chance of showers. The chance of a thunderstorm in the afternoon and evening. Winds northeast to southeasterly 15 to 20 km/h tending north to northeasterly during the morning then tending east to northeasterly during the afternoon. Overnight temperatures falling to between 8 and 12 with daytime temperatures reaching between 15 and 21.,shower,Showers.,Low-Moderate,
2020-10-17T13:00:00Z,"{'amount': {'min': 8, 'max': 20, 'units': 'mm'}, 'chance': 95}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:22:00Z', 'sunset_time': '2020-10-18T08:27:23Z'}",2020-10-17T13:00:00Z,22,13,,shower,Showers.,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:20:42Z', 'sunset_time': '2020-10-19T08:28:18Z'}",2020-10-18T13:00:00Z,21,10,,shower,Shower or two.,,
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-19T19:19:25Z', 'sunset_time': '2020-10-20T08:29:14Z'}",2020-10-19T13:00:00Z,21,7,,mostly_sunny,Partly cloudy.,,
