date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'veryhigh', 'end_time': '2020-10-14T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-13T22:30:00Z'}","{'sunrise_time': '2020-10-13T19:29:12Z', 'sunset_time': '2020-10-14T08:26:54Z'}",2020-10-13T13:00:00Z,13,3,Partly cloudy. Slight (20%) chance of rain. The chance of a thunderstorm with little or no rainfall during this afternoon and evening. Light winds.,mostly_sunny,Partly cloudy.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 13, 'temp_later': 5}"
2020-10-14T13:00:00Z,"{'amount': {'min': 8, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': 'veryhigh', 'end_time': '2020-10-15T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-14T22:30:00Z'}","{'sunrise_time': '2020-10-14T19:27:49Z', 'sunset_time': '2020-10-15T08:27:50Z'}",2020-10-14T13:00:00Z,13,5,Mostly sunny morning. Very high (90%) chance of showers in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Winds north to northwesterly 25 to 35 km/h.,shower,Showers developing.,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 5, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': 'high', 'end_time': '2020-10-16T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-15T22:40:00Z'}","{'sunrise_time': '2020-10-15T19:26:27Z', 'sunset_time': '2020-10-16T08:28:45Z'}",2020-10-15T13:00:00Z,8,3,"Cloudy. Very high (90%) chance of showers, most likely in the morning and afternoon. Winds northwest to southwesterly 30 to 35 km/h tending easterly 20 to 25 km/h during the morning then turning north to northeasterly 20 to 30 km/h during the day.",shower,Showers.,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 8, 'max': 20, 'units': 'mm'}, 'chance': 90}","{'category': 'high', 'end_time': '2020-10-17T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-16T22:30:00Z'}","{'sunrise_time': '2020-10-16T19:25:06Z', 'sunset_time': '2020-10-17T08:29:42Z'}",2020-10-16T13:00:00Z,9,5,Cloudy. Very high (90%) chance of showers. The chance of a thunderstorm in the afternoon and evening. Winds northwest to northeasterly 30 to 35 km/h tending northwesterly during the afternoon then tending northerly 25 to 30 km/h during the evening.,shower,Showers.,Low-Moderate,
2020-10-17T13:00:00Z,"{'amount': {'min': 8, 'max': 20, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:23:46Z', 'sunset_time': '2020-10-18T08:30:38Z'}",2020-10-17T13:00:00Z,10,6,Cloudy. Very high (90%) chance of showers. The chance of a thunderstorm during the morning. Winds north to northwesterly 25 to 35 km/h turning west to southwesterly 20 to 25 km/h later.,shower,Showers.,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:22:26Z', 'sunset_time': '2020-10-19T08:31:35Z'}",2020-10-18T13:00:00Z,8,3,Partly cloudy. Medium (50%) chance of showers. Winds south to southwesterly 25 to 30 km/h turning southeasterly 20 to 25 km/h later.,shower,Shower or two.,,
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-19T19:21:08Z', 'sunset_time': '2020-10-20T08:32:33Z'}",2020-10-19T13:00:00Z,9,0,Partly cloudy. Medium (40%) chance of showers. Winds southeasterly 15 to 25 km/h tending easterly 15 to 20 km/h later.,shower,Possible shower.,,
