date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'veryhigh', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-20T22:30:00Z'}","{'sunrise_time': '2020-10-20T19:19:50Z', 'sunset_time': '2020-10-21T08:33:30Z'}",2020-10-20T13:00:00Z,11,4,Partly cloudy. Winds northwesterly 15 to 20 km/h becoming light in the early afternoon.,mostly_sunny,Partly cloudy.,,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 11, 'temp_later': 3}"
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 20}","{'category': 'veryhigh', 'end_time': '2020-10-22T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-21T22:30:00Z'}","{'sunrise_time': '2020-10-21T19:18:34Z', 'sunset_time': '2020-10-22T08:34:29Z'}",2020-10-21T13:00:00Z,13,3,Partly cloudy. Slight (20%) chance of a shower. Light winds.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-22T13:00:00Z,"{'amount': {'min': 8, 'max': 15, 'units': 'mm'}, 'chance': 80}","{'category': 'veryhigh', 'end_time': '2020-10-23T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-22T22:20:00Z'}","{'sunrise_time': '2020-10-22T19:17:19Z', 'sunset_time': '2020-10-23T08:35:28Z'}",2020-10-22T13:00:00Z,13,8,"Partly cloudy. High (80%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Winds north to northwesterly 20 to 30 km/h.",shower,Showers increasing.,Low-Moderate,
2020-10-23T13:00:00Z,"{'amount': {'min': 30, 'max': 50, 'units': 'mm'}, 'chance': 100}","{'category': 'veryhigh', 'end_time': '2020-10-24T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-23T22:20:00Z'}","{'sunrise_time': '2020-10-23T19:16:04Z', 'sunset_time': '2020-10-24T08:36:27Z'}",2020-10-23T13:00:00Z,9,8,Cloudy. Very high (near 100%) chance of showers. The chance of a thunderstorm in the afternoon. Winds northwesterly 30 to 40 km/h shifting southerly 20 to 25 km/h during the afternoon.,shower,Showers. Wind easing.,Low-Moderate,
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': 6, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-24T19:14:51Z', 'sunset_time': '2020-10-25T08:37:26Z'}",2020-10-24T13:00:00Z,2,0,Cloudy. Medium (60%) chance of showers. Winds southerly 25 to 30 km/h tending southeasterly 20 to 30 km/h during the morning.,shower,Shower or two.,Low-Moderate,
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-25T19:13:39Z', 'sunset_time': '2020-10-26T08:38:26Z'}",2020-10-25T13:00:00Z,4,0,Cloudy. Medium (60%) chance of showers. Winds southeasterly 20 to 25 km/h.,shower,Shower or two.,,
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-26T19:12:28Z', 'sunset_time': '2020-10-27T08:39:27Z'}",2020-10-26T13:00:00Z,7,1,"Partly cloudy. Medium (60%) chance of showers, most likely later in the day. Winds east to southeasterly 20 to 25 km/h shifting north to northwesterly during the day.",shower,Shower or two.,,
