date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-11T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'high', 'end_time': '2020-10-12T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-11T22:50:00Z'}","{'sunrise_time': '2020-10-11T19:40:29Z', 'sunset_time': '2020-10-12T08:35:13Z'}",2020-10-11T13:00:00Z,25,,Mostly clear. Winds northerly 15 to 25 km/h.,mostly_sunny,Mostly clear.,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 13, 'temp_later': 16}"
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 60}","{'category': 'high', 'end_time': '2020-10-13T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-12T22:50:00Z'}","{'sunrise_time': '2020-10-12T19:39:02Z', 'sunset_time': '2020-10-13T08:36:10Z'}",2020-10-12T13:00:00Z,16,13.0,"Cloudy. The chance of fog in the early morning. Medium (60%) chance of drizzle, most likely in the morning. Winds north to northwesterly 15 to 25 km/h shifting south to southwesterly 15 to 20 km/h early in the morning.",light_rain,Drizzle at times.,Low-Moderate,
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'high', 'end_time': '2020-10-14T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-13T22:50:00Z'}","{'sunrise_time': '2020-10-13T19:37:36Z', 'sunset_time': '2020-10-14T08:37:07Z'}",2020-10-13T13:00:00Z,25,10.0,Partly cloudy. Areas of early fog. Winds west to northwesterly 15 to 20 km/h becoming light early in the morning then northwest to northeasterly 15 to 20 km/h in the early afternoon.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-14T13:00:00Z,"{'amount': {'min': 6, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': 'high', 'end_time': '2020-10-15T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-14T22:50:00Z'}","{'sunrise_time': '2020-10-14T19:36:11Z', 'sunset_time': '2020-10-15T08:38:05Z'}",2020-10-14T13:00:00Z,26,18.0,"Partly cloudy. Very high (90%) chance of showers, most likely in the afternoon and evening. Winds northerly 15 to 25 km/h increasing to 25 to 40 km/h during the morning then shifting south to southwesterly 15 to 25 km/h during the afternoon.",shower,Showers increasing.,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 0, 'max': 4, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-15T19:34:47Z', 'sunset_time': '2020-10-16T08:39:03Z'}",2020-10-15T13:00:00Z,20,12.0,Partly cloudy. Medium (60%) chance of showers. Winds southerly 15 to 20 km/h turning east to southeasterly during the morning.,shower,Shower or two.,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 5, 'max': 15, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-16T19:33:23Z', 'sunset_time': '2020-10-17T08:40:02Z'}",2020-10-16T13:00:00Z,21,14.0,Cloudy. High (80%) chance of showers. Winds north to northeasterly 15 to 25 km/h shifting south to southwesterly 20 to 30 km/h during the morning.,shower,Showers.,,
2020-10-17T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 70}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:32:01Z', 'sunset_time': '2020-10-18T08:41:00Z'}",2020-10-17T13:00:00Z,19,12.0,Cloudy. High (70%) chance of showers. Winds southerly 15 to 25 km/h.,shower,Shower or two.,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:30:39Z', 'sunset_time': '2020-10-19T08:42:00Z'}",2020-10-18T13:00:00Z,17,11.0,Cloudy. Medium (60%) chance of showers. Winds southerly 15 to 25 km/h.,shower,Shower or two.,,
