date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'veryhigh', 'end_time': '2020-10-20T05:50:00Z', 'max_index': 8, 'start_time': '2020-10-19T22:40:00Z'}","{'sunrise_time': '2020-10-19T19:44:42Z', 'sunset_time': '2020-10-20T08:49:53Z'}",2020-10-19T13:00:00Z,25,9,Sunny. Light winds.,mostly_sunny,Sunny.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 25, 'temp_later': 12}"
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'veryhigh', 'end_time': '2020-10-21T05:50:00Z', 'max_index': 8, 'start_time': '2020-10-20T22:40:00Z'}","{'sunrise_time': '2020-10-20T19:43:31Z', 'sunset_time': '2020-10-21T08:50:45Z'}",2020-10-20T13:00:00Z,28,12,Partly cloudy. Light winds.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'veryhigh', 'end_time': '2020-10-22T05:50:00Z', 'max_index': 8, 'start_time': '2020-10-21T22:40:00Z'}","{'sunrise_time': '2020-10-21T19:42:21Z', 'sunset_time': '2020-10-22T08:51:37Z'}",2020-10-21T13:00:00Z,30,14,Mostly sunny. Light winds.,mostly_sunny,Mostly sunny.,Low-Moderate,
2020-10-22T13:00:00Z,"{'amount': {'min': 0, 'max': 6, 'units': 'mm'}, 'chance': 60}","{'category': 'veryhigh', 'end_time': '2020-10-23T05:40:00Z', 'max_index': 8, 'start_time': '2020-10-22T22:50:00Z'}","{'sunrise_time': '2020-10-22T19:41:12Z', 'sunset_time': '2020-10-23T08:52:29Z'}",2020-10-22T13:00:00Z,28,17,"Humid. Partly cloudy. Medium (60%) chance of showers, most likely in the afternoon and evening. Winds northeast to southeasterly 15 to 20 km/h tending north to northeasterly during the morning then becoming light during the afternoon.",shower,Humid. Shower or two.,Low-Moderate,
2020-10-23T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-23T19:40:04Z', 'sunset_time': '2020-10-24T08:53:22Z'}",2020-10-23T13:00:00Z,22,13,"Partly cloudy. Medium (40%) chance of showers, most likely during the morning. Winds southerly 20 to 30 km/h.",shower,Possible shower.,,
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-24T19:38:57Z', 'sunset_time': '2020-10-25T08:54:15Z'}",2020-10-24T13:00:00Z,19,9,Partly cloudy. Winds southerly 20 to 25 km/h.,mostly_sunny,Partly cloudy.,,
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-25T19:37:51Z', 'sunset_time': '2020-10-26T08:55:09Z'}",2020-10-25T13:00:00Z,20,9,Partly cloudy. Slight (20%) chance of a shower. Light winds becoming southerly 20 to 25 km/h during the morning.,mostly_sunny,Partly cloudy.,,
