date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-11T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'high', 'end_time': '2020-10-12T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-11T22:50:00Z'}","{'sunrise_time': '2020-10-11T19:40:01Z', 'sunset_time': '2020-10-12T08:34:01Z'}",2020-10-11T13:00:00Z,20,,Mostly clear. Light winds.,mostly_sunny,,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 9, 'temp_later': 16}"
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': 'high', 'end_time': '2020-10-13T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-12T22:40:00Z'}","{'sunrise_time': '2020-10-12T19:38:35Z', 'sunset_time': '2020-10-13T08:34:56Z'}",2020-10-12T13:00:00Z,16,9.0,Partly cloudy. The chance of fog in the early morning. Slight (30%) chance of a shower in the morning and afternoon. Light winds becoming south to southeasterly 15 to 25 km/h in the morning then becoming light in the late evening. Overnight temperatures falling to around 9 with daytime temperatures reaching between 16 and 23.,light_rain,,Low-Moderate,
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'high', 'end_time': '2020-10-14T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-13T22:40:00Z'}","{'sunrise_time': '2020-10-13T19:37:10Z', 'sunset_time': '2020-10-14T08:35:52Z'}",2020-10-13T13:00:00Z,22,6.0,Partly cloudy. Areas of early fog. Light winds. Overnight temperatures falling to around 8 with daytime temperatures reaching 22 to 27.,mostly_sunny,,Low-Moderate,
2020-10-14T13:00:00Z,"{'amount': {'min': 4, 'max': 8, 'units': 'mm'}, 'chance': 90}","{'category': 'high', 'end_time': '2020-10-15T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-14T22:40:00Z'}","{'sunrise_time': '2020-10-14T19:35:46Z', 'sunset_time': '2020-10-15T08:36:49Z'}",2020-10-14T13:00:00Z,23,13.0,"Partly cloudy. Very high (90%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the morning and afternoon. Winds north to northeasterly 20 to 30 km/h shifting south to southwesterly 15 to 20 km/h during the evening. Overnight temperatures falling to around 13 with daytime temperatures reaching 22 to 27.",shower,,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 0, 'max': 4, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-15T19:34:23Z', 'sunset_time': '2020-10-16T08:37:46Z'}",2020-10-15T13:00:00Z,17,9.0,Cloudy. Medium (60%) chance of showers. Winds south to southwesterly 15 to 20 km/h tending south to southeasterly during the morning then tending northeast to southeasterly 15 to 25 km/h during the day. Overnight temperatures falling to between 9 and 12 with daytime temperatures reaching between 17 and 21.,shower,,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 8, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-16T19:33:00Z', 'sunset_time': '2020-10-17T08:38:43Z'}",2020-10-16T13:00:00Z,17,10.0,,shower,,,
2020-10-17T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 70}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:31:39Z', 'sunset_time': '2020-10-18T08:39:41Z'}",2020-10-17T13:00:00Z,16,9.0,,shower,,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:30:18Z', 'sunset_time': '2020-10-19T08:40:39Z'}",2020-10-18T13:00:00Z,15,7.0,,shower,,,
