date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 50}","{'category': 'veryhigh', 'end_time': '2020-10-26T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-25T22:20:00Z'}","{'sunrise_time': '2020-10-25T19:13:39Z', 'sunset_time': '2020-10-26T08:38:26Z'}",2020-10-25T13:00:00Z,3,-2,"Cloudy. Medium (40%) chance of snow showers, most likely this evening. Winds southeasterly 35 to 45 km/h.",snow,Possible snow shower. Windy.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 3, 'temp_later': 0}"
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': 'veryhigh', 'end_time': '2020-10-27T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-26T22:20:00Z'}","{'sunrise_time': '2020-10-26T19:12:28Z', 'sunset_time': '2020-10-27T08:39:27Z'}",2020-10-26T13:00:00Z,5,0,"Cloudy. Medium (50%) chance of snow showers, most likely in the early morning. Winds southeasterly 25 to 35 km/h tending easterly 20 to 30 km/h early in the morning then becoming light in the early afternoon.",snow,Snow shower or two.,Low-Moderate,
2020-10-27T13:00:00Z,"{'amount': {'min': 0, 'max': 4, 'units': 'mm'}, 'chance': 80}","{'category': 'veryhigh', 'end_time': '2020-10-28T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-27T22:20:00Z'}","{'sunrise_time': '2020-10-27T19:11:18Z', 'sunset_time': '2020-10-28T08:40:28Z'}",2020-10-27T13:00:00Z,8,0,Partly cloudy. High (80%) chance of showers. The chance of a thunderstorm in the late morning and afternoon. Light winds.,shower,Showers increasing.,Low-Moderate,
2020-10-28T13:00:00Z,"{'amount': {'min': 0, 'max': 4, 'units': 'mm'}, 'chance': 70}","{'category': 'veryhigh', 'end_time': '2020-10-29T05:40:00Z', 'max_index': 9, 'start_time': '2020-10-28T22:20:00Z'}","{'sunrise_time': '2020-10-28T19:10:09Z', 'sunset_time': '2020-10-29T08:41:29Z'}",2020-10-28T13:00:00Z,10,2,"Partly cloudy. High (70%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon. Winds southerly 15 to 20 km/h tending southeasterly during the morning then becoming light during the day.",shower,Shower or two.,Low-Moderate,
2020-10-29T13:00:00Z,"{'amount': {'min': 6, 'max': 15, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-29T19:09:02Z', 'sunset_time': '2020-10-30T08:42:30Z'}",2020-10-29T13:00:00Z,10,3,Cloudy. High (80%) chance of showers. The chance of a thunderstorm. Light winds becoming northwest to northeasterly 15 to 20 km/h during the morning.,shower,Showers increasing.,,
2020-10-30T13:00:00Z,"{'amount': {'min': 4, 'max': 8, 'units': 'mm'}, 'chance': 70}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-30T19:07:56Z', 'sunset_time': '2020-10-31T08:43:32Z'}",2020-10-30T13:00:00Z,7,3,Partly cloudy. High (70%) chance of showers. Winds northeast to southeasterly 15 to 20 km/h tending southeasterly during the day.,shower,Shower or two.,,
2020-10-31T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-31T19:06:51Z', 'sunset_time': '2020-11-01T08:44:34Z'}",2020-10-31T13:00:00Z,9,3,Partly cloudy. Medium (40%) chance of showers. Winds southeasterly 20 to 30 km/h.,shower,Possible shower.,,
