date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 30}","{'category': 'veryhigh', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-20T22:20:00Z'}","{'sunrise_time': '2020-10-20T19:18:09Z', 'sunset_time': '2020-10-21T08:30:10Z'}",2020-10-20T13:00:00Z,24,7,Partly cloudy. Slight (30%) chance of a shower in the east during the afternoon and early evening. Light winds. Daytime maximum temperatures between 17 and 23.,shower,Partly cloudy.,,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 24, 'temp_later': 8}"
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'veryhigh', 'end_time': '2020-10-22T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-21T22:20:00Z'}","{'sunrise_time': '2020-10-21T19:16:54Z', 'sunset_time': '2020-10-22T08:31:07Z'}",2020-10-21T13:00:00Z,26,8,Mostly sunny. The chance of fog near the New South Wales border in the early morning. Light winds. Overnight temperatures falling to around 7 with daytime temperatures reaching between 19 and 25.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-22T13:00:00Z,"{'amount': {'min': 6, 'max': 15, 'units': 'mm'}, 'chance': 70}","{'category': 'veryhigh', 'end_time': '2020-10-23T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-22T22:20:00Z'}","{'sunrise_time': '2020-10-22T19:15:41Z', 'sunset_time': '2020-10-23T08:32:04Z'}",2020-10-22T13:00:00Z,26,9,"Humid. Partly cloudy. The chance of morning fog near the New South Wales border. High (80%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Light winds becoming north to northeasterly 15 to 20 km/h during the morning then tending east to northeasterly during the evening. Overnight temperatures falling to between 8 and 11 with daytime temperatures reaching 20 to 26.",shower,Humid. Shower or two.,Low-Moderate,
2020-10-23T13:00:00Z,"{'amount': {'min': 40, 'max': 60, 'units': 'mm'}, 'chance': 100}","{'category': 'veryhigh', 'end_time': '2020-10-24T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-23T22:20:00Z'}","{'sunrise_time': '2020-10-23T19:14:28Z', 'sunset_time': '2020-10-24T08:33:02Z'}",2020-10-23T13:00:00Z,21,16,"Humid. Cloudy. Very high (near 100%) chance of showers, most likely in the morning and afternoon. The chance of a thunderstorm in the morning and afternoon. Heavy falls possible in the north and about the ranges. Winds northwest to northeasterly 15 to 20 km/h tending south to southeasterly 15 to 25 km/h during the afternoon. Overnight temperatures falling to between 10 and 15 with daytime temperatures reaching between 15 and 22.",shower,Showers. Possible heavy falls.,Low-Moderate,
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': 10, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-24T19:13:16Z', 'sunset_time': '2020-10-25T08:34:00Z'}",2020-10-24T13:00:00Z,19,10,,shower,Shower or two.,Low-Moderate,
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-25T19:12:06Z', 'sunset_time': '2020-10-26T08:34:58Z'}",2020-10-25T13:00:00Z,18,9,,shower,Shower or two.,,
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-26T19:10:56Z', 'sunset_time': '2020-10-27T08:35:57Z'}",2020-10-26T13:00:00Z,21,8,,shower,Possible shower.,,
