date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-15T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'high', 'end_time': '2020-10-16T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-15T22:40:00Z'}","{'sunrise_time': '2020-10-15T19:27:54Z', 'sunset_time': '2020-10-16T08:34:43Z'}",2020-10-15T13:00:00Z,15,,Cloudy. Very high (95%) chance of rain. The chance of a thunderstorm about the ranges. Winds easterly 20 to 30 km/h.,rain,,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 11, 'temp_later': 18}"
2020-10-16T13:00:00Z,"{'amount': {'min': 4, 'max': 10, 'units': 'mm'}, 'chance': 95}","{'category': 'high', 'end_time': '2020-10-17T05:00:00Z', 'max_index': 7, 'start_time': '2020-10-16T22:40:00Z'}","{'sunrise_time': '2020-10-16T19:26:27Z', 'sunset_time': '2020-10-17T08:35:44Z'}",2020-10-16T13:00:00Z,18,11.0,"Cloudy. Very high (95%) chance of showers, most likely in the morning and afternoon. The chance of a thunderstorm in the morning and afternoon, possibly severe with damaging winds and large hail in the afternoon and early evening. Possible heavy falls in the afternoon and early evening. Winds east to northeasterly 15 to 25 km/h shifting westerly in the late morning and early afternoon. Overnight temperatures falling to around 9 with daytime temperatures reaching between 16 and 21.",shower,,Low-Moderate,
2020-10-17T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 60}","{'category': 'high', 'end_time': '2020-10-18T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-17T22:40:00Z'}","{'sunrise_time': '2020-10-17T19:25:02Z', 'sunset_time': '2020-10-18T08:36:46Z'}",2020-10-17T13:00:00Z,15,10.0,"Cloudy. Medium (60%) chance of showers, most likely in the morning and afternoon. Snow possible above 1600 metres. Winds west to southwesterly 20 to 30 km/h becoming light in the evening. Overnight temperatures falling to between 7 and 10 with daytime temperatures reaching between 12 and 17.",shower,,Low-Moderate,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 30}","{'category': 'high', 'end_time': '2020-10-19T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-18T22:40:00Z'}","{'sunrise_time': '2020-10-18T19:23:37Z', 'sunset_time': '2020-10-19T08:37:49Z'}",2020-10-18T13:00:00Z,16,9.0,Patchy morning fog in the west. Partly cloudy day. Slight (20%) chance of a shower. Winds northwest to southwesterly 15 to 20 km/h tending southeast to southwesterly during the day then becoming light during the evening. Overnight temperatures falling to between 4 and 8 with daytime temperatures reaching between 14 and 18.,mostly_sunny,,Low-Moderate,
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-19T19:22:13Z', 'sunset_time': '2020-10-20T08:38:52Z'}",2020-10-19T13:00:00Z,16,8.0,Patchy morning fog. Mostly sunny afternoon. Light winds becoming east to southeasterly 15 to 25 km/h during the day then becoming light during the evening. Overnight temperatures falling to between 4 and 7 with daytime temperatures reaching between 17 and 21.,mostly_sunny,,Low-Moderate,
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 30}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-20T19:20:50Z', 'sunset_time': '2020-10-21T08:39:55Z'}",2020-10-20T13:00:00Z,18,10.0,,mostly_sunny,,,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': 6, 'units': 'mm'}, 'chance': 70}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-21T19:19:28Z', 'sunset_time': '2020-10-22T08:40:59Z'}",2020-10-21T13:00:00Z,18,11.0,,shower,,,
2020-10-22T13:00:00Z,"{'amount': {'min': 4, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-22T19:18:08Z', 'sunset_time': '2020-10-23T08:42:03Z'}",2020-10-22T13:00:00Z,19,12.0,,shower,,,
