date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger
2020-10-08T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': 'high', 'end_time': '2020-10-09T05:00:00Z', 'max_index': 6, 'start_time': '2020-10-08T23:10:00Z'}","{'sunrise_time': '2020-10-08T19:44:53Z', 'sunset_time': '2020-10-09T08:32:26Z'}",2020-10-08T13:00:00Z,18,11,"Cloudy. High (80%) chance of showers about the Dandenongs, medium (60%) chance elsewhere. Winds northwesterly 25 to 35 km/h tending westerly 25 to 40 km/h early in the morning then becoming light in the late evening.",shower,Shower or two.,Low-Moderate
2020-10-09T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 60}","{'category': 'high', 'end_time': '2020-10-10T05:10:00Z', 'max_index': 6, 'start_time': '2020-10-09T23:00:00Z'}","{'sunrise_time': '2020-10-09T19:43:24Z', 'sunset_time': '2020-10-10T08:33:21Z'}",2020-10-09T13:00:00Z,22,9,"Partly cloudy. Medium (60%) chance of showers, most likely in the afternoon and evening. Winds north to northwesterly 20 to 30 km/h tending northwest to southwesterly 15 to 25 km/h during the afternoon then becoming light during the evening.",shower,Shower or two.,Low-Moderate
2020-10-10T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': 'high', 'end_time': '2020-10-11T05:10:00Z', 'max_index': 6, 'start_time': '2020-10-10T23:00:00Z'}","{'sunrise_time': '2020-10-10T19:41:56Z', 'sunset_time': '2020-10-11T08:34:17Z'}",2020-10-10T13:00:00Z,18,10,Partly cloudy. Slight (30%) chance of a shower. Light winds becoming south to southwesterly 15 to 20 km/h during the day then tending south to southeasterly during the afternoon.,mostly_sunny,Partly cloudy.,Low-Moderate
2020-10-11T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-11T19:40:29Z', 'sunset_time': '2020-10-12T08:35:13Z'}",2020-10-11T13:00:00Z,18,8,Partly cloudy. Areas of morning fog. Slight (20%) chance of a shower. Light winds becoming south to southwesterly 15 to 20 km/h during the day.,mostly_sunny,Partly cloudy.,
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-12T19:39:02Z', 'sunset_time': '2020-10-13T08:36:10Z'}",2020-10-12T13:00:00Z,23,10,Partly cloudy. Areas of morning fog. Slight (20%) chance of a shower. Light winds.,mostly_sunny,Partly cloudy.,
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-13T19:37:36Z', 'sunset_time': '2020-10-14T08:37:07Z'}",2020-10-13T13:00:00Z,26,12,Partly cloudy. Winds north to northeasterly 20 to 30 km/h.,mostly_sunny,Partly cloudy.,
