date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'high', 'end_time': '2020-10-26T05:30:00Z', 'max_index': 7, 'start_time': '2020-10-25T22:40:00Z'}","{'sunrise_time': '2020-10-25T19:21:35Z', 'sunset_time': '2020-10-26T08:49:07Z'}",2020-10-25T13:00:00Z,17,9,Partly cloudy. Winds southeasterly 25 to 40 km/h.,cloudy,Windy. Partly cloudy.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 17, 'temp_later': 9}"
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': 'high', 'end_time': '2020-10-27T05:30:00Z', 'max_index': 7, 'start_time': '2020-10-26T22:40:00Z'}","{'sunrise_time': '2020-10-26T19:20:22Z', 'sunset_time': '2020-10-27T08:50:10Z'}",2020-10-26T13:00:00Z,17,9,Cloudy. Medium (40%) chance of showers in the late morning and afternoon. Winds southeasterly 15 to 25 km/h becoming light in the late evening.,shower,Possible afternoon shower.,Low-Moderate,
2020-10-27T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': 'high', 'end_time': '2020-10-28T05:30:00Z', 'max_index': 7, 'start_time': '2020-10-27T22:40:00Z'}","{'sunrise_time': '2020-10-27T19:19:10Z', 'sunset_time': '2020-10-28T08:51:13Z'}",2020-10-27T13:00:00Z,18,10,"Partly cloudy. Patchy morning fog in the northeast suburbs. Medium (40%) chance of showers in the afternoon and evening. The chance of a thunderstorm in the afternoon and early evening, mainly over the eastern suburbs. Winds southeasterly 15 to 20 km/h tending southerly 15 to 25 km/h during the afternoon then becoming light during the evening.",shower,Possible shower.,Low-Moderate,
2020-10-28T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 60}","{'category': 'veryhigh', 'end_time': '2020-10-29T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-28T22:30:00Z'}","{'sunrise_time': '2020-10-28T19:17:59Z', 'sunset_time': '2020-10-29T08:52:17Z'}",2020-10-28T13:00:00Z,19,10,"Partly cloudy. Areas of morning fog. Medium (60%) chance of showers, most likely in the afternoon and evening. Light winds becoming southerly 15 to 20 km/h during the afternoon then becoming light during the evening.",shower,Shower or two.,Low-Moderate,
2020-10-29T13:00:00Z,"{'amount': {'min': 3, 'max': 10, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-29T19:16:49Z', 'sunset_time': '2020-10-30T08:53:21Z'}",2020-10-29T13:00:00Z,18,11,Cloudy. High (80%) chance of showers. Light winds becoming southerly 15 to 25 km/h during the morning.,shower,Showers.,,
2020-10-30T13:00:00Z,"{'amount': {'min': 0, 'max': 6, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-30T19:15:41Z', 'sunset_time': '2020-10-31T08:54:25Z'}",2020-10-30T13:00:00Z,18,12,Cloudy. Medium (50%) chance of showers. Winds south to southeasterly 20 to 30 km/h.,shower,Shower or two.,,
2020-10-31T13:00:00Z,"{'amount': {'min': 0, 'max': 0.2, 'units': 'mm'}, 'chance': 30}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-31T19:14:34Z', 'sunset_time': '2020-11-01T08:55:29Z'}",2020-10-31T13:00:00Z,19,12,Cloudy. Slight (30%) chance of a shower. Winds south to southeasterly 15 to 25 km/h.,cloudy,Cloudy.,,
