date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 70}","{'category': 'veryhigh', 'end_time': '2020-10-26T05:40:00Z', 'max_index': 8, 'start_time': '2020-10-25T22:50:00Z'}","{'sunrise_time': '2020-10-25T19:37:51Z', 'sunset_time': '2020-10-26T08:55:09Z'}",2020-10-25T13:00:00Z,16,8,"Cloudy. High (70%) chance of showers, becoming less likely this afternoon. Winds southeasterly 20 to 30 km/h tending easterly 15 to 20 km/h in the evening then becoming light in the late evening.",shower,Shower or two.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 16, 'temp_later': 9}"
2020-10-26T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': 'veryhigh', 'end_time': '2020-10-27T05:40:00Z', 'max_index': 8, 'start_time': '2020-10-26T22:40:00Z'}","{'sunrise_time': '2020-10-26T19:36:46Z', 'sunset_time': '2020-10-27T08:56:03Z'}",2020-10-26T13:00:00Z,20,9,"Cloudy. Medium (40%) chance of showers, most likely in the afternoon and early evening. Light winds becoming east to southeasterly 15 to 20 km/h in the morning then becoming light in the middle of the day.",shower,Possible shower.,Low-Moderate,
2020-10-27T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'veryhigh', 'end_time': '2020-10-28T05:50:00Z', 'max_index': 8, 'start_time': '2020-10-27T22:40:00Z'}","{'sunrise_time': '2020-10-27T19:35:43Z', 'sunset_time': '2020-10-28T08:56:57Z'}",2020-10-27T13:00:00Z,24,8,Partly cloudy. Light winds becoming southwesterly 15 to 20 km/h during the afternoon then becoming light during the evening.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-28T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 30}","{'category': 'veryhigh', 'end_time': '2020-10-29T05:50:00Z', 'max_index': 9, 'start_time': '2020-10-28T22:30:00Z'}","{'sunrise_time': '2020-10-28T19:34:41Z', 'sunset_time': '2020-10-29T08:57:52Z'}",2020-10-28T13:00:00Z,25,9,"Mostly sunny morning. Slight (30%) chance of a shower, most likely in the afternoon and evening. Light winds.",mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-29T13:00:00Z,"{'amount': {'min': 0, 'max': 6, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-29T19:33:39Z', 'sunset_time': '2020-10-30T08:58:47Z'}",2020-10-29T13:00:00Z,19,8,Partly cloudy. Medium (50%) chance of showers. The chance of a thunderstorm. Light winds becoming south to southwesterly 20 to 25 km/h during the day.,shower,Shower or two.,,
2020-10-30T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-30T19:32:40Z', 'sunset_time': '2020-10-31T08:59:43Z'}",2020-10-30T13:00:00Z,23,11,Partly cloudy. Slight (20%) chance of a shower. Winds southwesterly 15 to 20 km/h tending southerly 15 to 25 km/h during the morning.,mostly_sunny,Partly cloudy.,,
2020-10-31T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 0}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-31T19:31:41Z', 'sunset_time': '2020-11-01T09:00:39Z'}",2020-10-31T13:00:00Z,25,10,Sunny. Light winds.,sunny,Sunny.,,
