date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-11T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'high', 'end_time': '2020-10-12T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-11T22:40:00Z'}","{'sunrise_time': '2020-10-11T19:31:59Z', 'sunset_time': '2020-10-12T08:25:05Z'}",2020-10-11T13:00:00Z,12,,Clear. Light winds.,clear,Clear.,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 5, 'temp_later': 13}"
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 60}","{'category': 'veryhigh', 'end_time': '2020-10-13T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-12T22:30:00Z'}","{'sunrise_time': '2020-10-12T19:30:35Z', 'sunset_time': '2020-10-13T08:26:00Z'}",2020-10-12T13:00:00Z,13,5.0,"Sunny morning. Medium (60%) chance of showers, most likely in the afternoon and early evening. The chance of a thunderstorm in the afternoon and evening. Winds westerly 20 to 25 km/h becoming light in the early afternoon.",shower,Sunny morning. Shower or two.,Low-Moderate,
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'veryhigh', 'end_time': '2020-10-14T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-13T22:30:00Z'}","{'sunrise_time': '2020-10-13T19:29:12Z', 'sunset_time': '2020-10-14T08:26:54Z'}",2020-10-13T13:00:00Z,14,4.0,Partly cloudy. Slight (20%) chance of a shower in the morning. Light winds becoming northwesterly 15 to 20 km/h in the morning then becoming light in the middle of the day.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-14T13:00:00Z,"{'amount': {'min': 8, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': 'veryhigh', 'end_time': '2020-10-15T05:10:00Z', 'max_index': 8, 'start_time': '2020-10-14T22:30:00Z'}","{'sunrise_time': '2020-10-14T19:27:49Z', 'sunset_time': '2020-10-15T08:27:50Z'}",2020-10-14T13:00:00Z,13,6.0,"Partly cloudy. Very high (90%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the morning and afternoon. Winds north to northwesterly 30 to 45 km/h turning westerly 25 to 30 km/h during the evening.",shower,Showers increasing. Windy.,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 4, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-15T19:26:27Z', 'sunset_time': '2020-10-16T08:28:45Z'}",2020-10-15T13:00:00Z,10,7.0,Cloudy. Very high (90%) chance of showers. Winds west to northwesterly 25 to 30 km/h turning northerly 20 to 25 km/h during the morning then increasing to 30 to 35 km/h during the evening.,shower,Showers.,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 10, 'max': 20, 'units': 'mm'}, 'chance': 95}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-16T19:25:06Z', 'sunset_time': '2020-10-17T08:29:42Z'}",2020-10-16T13:00:00Z,8,5.0,Cloudy. Very high (95%) chance of showers. Winds northerly 30 to 35 km/h tending northwesterly 25 to 35 km/h during the morning.,shower,Showers.,,
2020-10-17T13:00:00Z,"{'amount': {'min': 3, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:23:46Z', 'sunset_time': '2020-10-18T08:30:38Z'}",2020-10-17T13:00:00Z,10,5.0,Cloudy. Very high (90%) chance of showers. Winds northwest to southwesterly 20 to 25 km/h tending east to southeasterly 15 to 20 km/h during the morning.,shower,Showers.,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:22:26Z', 'sunset_time': '2020-10-19T08:31:35Z'}",2020-10-18T13:00:00Z,10,4.0,Partly cloudy. Medium (50%) chance of showers. Winds east to southeasterly 15 to 20 km/h.,shower,Shower or two.,,
