date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'high', 'end_time': '2020-10-20T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-19T22:40:00Z'}","{'sunrise_time': '2020-10-19T19:25:59Z', 'sunset_time': '2020-10-20T08:38:12Z'}",2020-10-19T13:00:00Z,20,6,Patchy fog this morning clearing to a mostly sunny day. Light winds. Daytime maximum temperatures between 17 and 22.,mostly_sunny,Morning fog then mostly sunny.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 20, 'temp_later': 8}"
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'veryhigh', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-20T22:30:00Z'}","{'sunrise_time': '2020-10-20T19:24:41Z', 'sunset_time': '2020-10-21T08:39:11Z'}",2020-10-20T13:00:00Z,20,8,Partly cloudy. Patchy fog in the west in the early morning. Slight (20%) chance of a shower. Light winds becoming northwesterly 15 to 20 km/h in the middle of the day then becoming light in the early afternoon. Overnight temperatures falling to between 5 and 8 with daytime temperatures reaching between 17 and 23.,fog,Partly cloudy.,Low-Moderate,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'high', 'end_time': '2020-10-22T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-21T22:30:00Z'}","{'sunrise_time': '2020-10-21T19:23:24Z', 'sunset_time': '2020-10-22T08:40:10Z'}",2020-10-21T13:00:00Z,21,8,Partly cloudy. The chance of morning fog in the north. Slight (30%) chance of a shower. The chance of a thunderstorm in the afternoon and evening. Light winds. Overnight temperatures falling to between 6 and 9 with daytime temperatures reaching between 18 and 25.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-22T13:00:00Z,"{'amount': {'min': 4, 'max': 15, 'units': 'mm'}, 'chance': 60}","{'category': 'veryhigh', 'end_time': '2020-10-23T05:30:00Z', 'max_index': 8, 'start_time': '2020-10-22T22:30:00Z'}","{'sunrise_time': '2020-10-22T19:22:07Z', 'sunset_time': '2020-10-23T08:41:09Z'}",2020-10-22T13:00:00Z,20,9,"Humid. Partly cloudy. The chance of morning fog near the New South Wales border. Medium (60%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Light winds. Overnight temperatures falling to between 7 and 10 with daytime temperatures reaching between 18 and 25.",shower,Shower or two.,Low-Moderate,
2020-10-23T13:00:00Z,"{'amount': {'min': 0, 'max': 6, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-23T19:20:52Z', 'sunset_time': '2020-10-24T08:42:09Z'}",2020-10-23T13:00:00Z,17,10,,shower,Shower or two.,,
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-24T19:19:38Z', 'sunset_time': '2020-10-25T08:43:10Z'}",2020-10-24T13:00:00Z,13,8,,cloudy,Cloudy.,,
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-25T19:18:25Z', 'sunset_time': '2020-10-26T08:44:11Z'}",2020-10-25T13:00:00Z,16,6,,shower,Possible shower.,,
