date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-17T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': 'high', 'end_time': '2020-10-18T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-17T22:40:00Z'}","{'sunrise_time': '2020-10-17T19:25:02Z', 'sunset_time': '2020-10-18T08:36:46Z'}",2020-10-17T13:00:00Z,15,10,"Partly cloudy. The chance of early fog . Medium (50%) chance of showers, falling as snow above 1500 metres. Winds southwesterly 15 to 25 km/h becoming light in the late evening. Daytime maximum temperatures between 12 and 17.",shower,,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 15, 'temp_later': 10}"
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': 'high', 'end_time': '2020-10-19T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-18T22:40:00Z'}","{'sunrise_time': '2020-10-18T19:23:37Z', 'sunset_time': '2020-10-19T08:37:49Z'}",2020-10-18T13:00:00Z,16,10,"Partly cloudy. The chance of fog in the early morning. Medium (50%) chance of light showers in the southwest, slight (20%) chance elsewhere. Light winds becoming west to southwesterly 15 to 20 km/h in the morning then becoming light in the evening. Overnight temperatures falling to between 3 and 8 with daytime temperatures reaching between 14 and 18.",mostly_sunny,,Low-Moderate,
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 0}","{'category': 'high', 'end_time': '2020-10-20T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-19T22:40:00Z'}","{'sunrise_time': '2020-10-19T19:22:13Z', 'sunset_time': '2020-10-20T08:38:52Z'}",2020-10-19T13:00:00Z,16,8,Partly cloudy. The chance of morning fog. Light winds becoming east to southeasterly 15 to 20 km/h during the afternoon then becoming light during the evening. Overnight temperatures falling to between 3 and 7 with daytime temperatures reaching between 16 and 20.,mostly_sunny,,Low-Moderate,
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'high', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-20T22:40:00Z'}","{'sunrise_time': '2020-10-20T19:20:50Z', 'sunset_time': '2020-10-21T08:39:55Z'}",2020-10-20T13:00:00Z,17,10,Partly cloudy. The chance of morning fog. Slight (30%) chance of a shower in the afternoon and evening. Light winds becoming south to southeasterly 15 to 20 km/h during the day then becoming light during the evening. Overnight temperatures falling to between 5 and 8 with daytime temperatures reaching between 17 and 22.,mostly_sunny,,Low-Moderate,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-21T19:19:28Z', 'sunset_time': '2020-10-22T08:40:59Z'}",2020-10-21T13:00:00Z,18,10,,mostly_sunny,,,
2020-10-22T13:00:00Z,"{'amount': {'min': 6, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-22T19:18:08Z', 'sunset_time': '2020-10-23T08:42:03Z'}",2020-10-22T13:00:00Z,19,12,,shower,,,
2020-10-23T13:00:00Z,"{'amount': {'min': 2, 'max': 6, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-23T19:16:48Z', 'sunset_time': '2020-10-24T08:43:07Z'}",2020-10-23T13:00:00Z,16,10,,shower,,,
