date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'veryhigh', 'end_time': '2020-10-20T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-19T22:20:00Z'}","{'sunrise_time': '2020-10-19T19:19:25Z', 'sunset_time': '2020-10-20T08:29:14Z'}",2020-10-19T13:00:00Z,23,7,Patchy fog this morning clearing to a mostly sunny day. Light winds. Daytime maximum temperatures between 17 and 22.,mostly_sunny,Mostly sunny.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 23, 'temp_later': 7}"
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': 'veryhigh', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-20T22:20:00Z'}","{'sunrise_time': '2020-10-20T19:18:09Z', 'sunset_time': '2020-10-21T08:30:10Z'}",2020-10-20T13:00:00Z,24,7,Partly cloudy. Patchy fog in the west in the early morning. Slight (20%) chance of a shower. Light winds becoming northwesterly 15 to 20 km/h in the middle of the day then becoming light in the early afternoon. Overnight temperatures falling to between 5 and 8 with daytime temperatures reaching between 17 and 23.,fog,Partly cloudy.,Low-Moderate,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': 'veryhigh', 'end_time': '2020-10-22T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-21T22:20:00Z'}","{'sunrise_time': '2020-10-21T19:16:54Z', 'sunset_time': '2020-10-22T08:31:07Z'}",2020-10-21T13:00:00Z,26,9,Partly cloudy. The chance of morning fog in the north. Slight (30%) chance of a shower. The chance of a thunderstorm in the afternoon and evening. Light winds. Overnight temperatures falling to between 6 and 9 with daytime temperatures reaching between 18 and 25.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-22T13:00:00Z,"{'amount': {'min': 5, 'max': 20, 'units': 'mm'}, 'chance': 70}","{'category': 'veryhigh', 'end_time': '2020-10-23T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-22T22:20:00Z'}","{'sunrise_time': '2020-10-22T19:15:41Z', 'sunset_time': '2020-10-23T08:32:04Z'}",2020-10-22T13:00:00Z,25,8,"Humid. Partly cloudy. The chance of morning fog near the New South Wales border. Medium (60%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Light winds. Overnight temperatures falling to between 7 and 10 with daytime temperatures reaching between 18 and 25.",shower,Shower or two.,Low-Moderate,
2020-10-23T13:00:00Z,"{'amount': {'min': 8, 'max': 25, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-23T19:14:28Z', 'sunset_time': '2020-10-24T08:33:02Z'}",2020-10-23T13:00:00Z,22,12,,shower,Showers.,,
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': 5, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-24T19:13:16Z', 'sunset_time': '2020-10-25T08:34:00Z'}",2020-10-24T13:00:00Z,18,10,,shower,Shower or two.,,
2020-10-25T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 40}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-25T19:12:06Z', 'sunset_time': '2020-10-26T08:34:58Z'}",2020-10-25T13:00:00Z,19,8,,shower,Possible shower.,,
