date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-11T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'high', 'end_time': '2020-10-12T05:00:00Z', 'max_index': 6, 'start_time': '2020-10-11T22:50:00Z'}","{'sunrise_time': '2020-10-11T19:33:48Z', 'sunset_time': '2020-10-12T08:30:41Z'}",2020-10-11T13:00:00Z,18,,Clear. Light winds becoming north to northwesterly 15 to 20 km/h in the late evening.,mostly_sunny,,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 12, 'temp_later': 15}"
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': 'high', 'end_time': '2020-10-13T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-12T22:50:00Z'}","{'sunrise_time': '2020-10-12T19:32:19Z', 'sunset_time': '2020-10-13T08:31:40Z'}",2020-10-12T13:00:00Z,15,12.0,Cloudy. High (70%) chance of drizzle. The chance of a thunderstorm about the ranges in the afternoon. Winds north to northwesterly 15 to 20 km/h tending northwest to southwesterly early in the morning then tending east to southeasterly 20 to 30 km/h in the early afternoon. Overnight temperatures falling to between 9 and 12 with daytime temperatures reaching between 16 and 21.,light_rain,,Low-Moderate,
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'high', 'end_time': '2020-10-14T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-13T22:40:00Z'}","{'sunrise_time': '2020-10-13T19:30:50Z', 'sunset_time': '2020-10-14T08:32:41Z'}",2020-10-13T13:00:00Z,18,11.0,"Partly cloudy. Areas of early fog about the ranges. Medium (50%) chance of showers in the east, slight (30%) chance elsewhere, mostly during the morning. Winds east to northeasterly 15 to 25 km/h tending northwest to southwesterly in the middle of the day then becoming light in the evening. Overnight temperatures falling to between 8 and 11 with daytime temperatures reaching between 19 and 24.",windy,,Low-Moderate,
2020-10-14T13:00:00Z,"{'amount': {'min': 3, 'max': 8, 'units': 'mm'}, 'chance': 90}","{'category': 'high', 'end_time': '2020-10-15T05:00:00Z', 'max_index': 7, 'start_time': '2020-10-14T22:50:00Z'}","{'sunrise_time': '2020-10-14T19:29:21Z', 'sunset_time': '2020-10-15T08:33:41Z'}",2020-10-14T13:00:00Z,23,13.0,"Partly cloudy. Very high (90%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the morning and afternoon. Winds northerly 15 to 25 km/h tending north to northwesterly 25 to 35 km/h during the morning then shifting south to southwesterly 15 to 20 km/h during the evening. Overnight temperatures falling to between 11 and 14 with daytime temperatures reaching 22 to 28.",shower,,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-15T19:27:54Z', 'sunset_time': '2020-10-16T08:34:43Z'}",2020-10-15T13:00:00Z,16,10.0,Cloudy. Medium (60%) chance of showers. Winds south to southwesterly 15 to 25 km/h shifting easterly 25 to 35 km/h during the morning. Overnight temperatures falling to between 8 and 11 with daytime temperatures reaching between 14 and 18.,shower,,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 4, 'max': 10, 'units': 'mm'}, 'chance': 80}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-16T19:26:27Z', 'sunset_time': '2020-10-17T08:35:44Z'}",2020-10-16T13:00:00Z,17,11.0,,shower,,,
2020-10-17T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:25:02Z', 'sunset_time': '2020-10-18T08:36:46Z'}",2020-10-17T13:00:00Z,16,11.0,,shower,,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 1, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:23:37Z', 'sunset_time': '2020-10-19T08:37:49Z'}",2020-10-18T13:00:00Z,16,10.0,,shower,,,
