date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-11T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 0}","{'category': 'high', 'end_time': '2020-10-12T05:10:00Z', 'max_index': 7, 'start_time': '2020-10-11T22:30:00Z'}","{'sunrise_time': '2020-10-11T19:30:03Z', 'sunset_time': '2020-10-12T08:22:00Z'}",2020-10-11T13:00:00Z,24,,Clear. Light winds.,clear,Clear.,,"{'is_night': False, 'now_label': 'Overnight Min', 'later_label': ""Tomorrow's Max"", 'temp_now': 8, 'temp_later': 26}"
2020-10-12T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'veryhigh', 'end_time': '2020-10-13T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-12T22:30:00Z'}","{'sunrise_time': '2020-10-12T19:28:41Z', 'sunset_time': '2020-10-13T08:22:53Z'}",2020-10-12T13:00:00Z,26,8.0,"Partly cloudy. The chance of fog in the north in the early morning. Medium (50%) chance of showers in the south, slight (20%) chance elsewhere. The chance of a thunderstorm in the afternoon and evening. Light winds. Overnight temperatures falling to between 6 and 9 with daytime temperatures reaching between 19 and 26.",fog,Mostly sunny.,Low-Moderate,
2020-10-13T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': 'veryhigh', 'end_time': '2020-10-14T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-13T22:30:00Z'}","{'sunrise_time': '2020-10-13T19:27:19Z', 'sunset_time': '2020-10-14T08:23:46Z'}",2020-10-13T13:00:00Z,26,9.0,Mostly sunny. Areas of early fog. Slight (20%) chance of a shower in the east in the morning and afternoon. Light winds. Overnight temperatures falling to between 7 and 10 with daytime temperatures reaching 20 to 26.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-14T13:00:00Z,"{'amount': {'min': 3, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': 'veryhigh', 'end_time': '2020-10-15T05:10:00Z', 'max_index': 8, 'start_time': '2020-10-14T22:30:00Z'}","{'sunrise_time': '2020-10-14T19:25:58Z', 'sunset_time': '2020-10-15T08:24:40Z'}",2020-10-14T13:00:00Z,27,11.0,"The chance of morning fog near the New South Wales border. Partly cloudy day. Very high (90%) chance of showers, most likely in the afternoon and evening. The chance of a thunderstorm in the afternoon and evening. Winds northeast to southeasterly 15 to 25 km/h tending north to northeasterly 20 to 30 km/h during the morning then tending north to northwesterly during the day. Overnight temperatures falling to between 10 and 13 with daytime temperatures reaching 20 to 28.",shower,Showers increasing.,Low-Moderate,
2020-10-15T13:00:00Z,"{'amount': {'min': 4, 'max': 10, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-15T19:24:38Z', 'sunset_time': '2020-10-16T08:25:34Z'}",2020-10-15T13:00:00Z,23,14.0,Cloudy. High (80%) chance of showers. Winds southeast to southwesterly 15 to 20 km/h becoming light during the morning then becoming northeast to southeasterly 15 to 20 km/h during the evening. Overnight temperatures falling to between 10 and 14 with daytime temperatures reaching between 15 and 23.,shower,Showers.,Low-Moderate,
2020-10-16T13:00:00Z,"{'amount': {'min': 10, 'max': 15, 'units': 'mm'}, 'chance': 100}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-16T19:23:18Z', 'sunset_time': '2020-10-17T08:26:28Z'}",2020-10-16T13:00:00Z,18,12.0,,shower,Showers.,,
2020-10-17T13:00:00Z,"{'amount': {'min': 5, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-17T19:22:00Z', 'sunset_time': '2020-10-18T08:27:23Z'}",2020-10-17T13:00:00Z,22,12.0,,shower,Showers easing.,,
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 3, 'units': 'mm'}, 'chance': 50}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-18T19:20:42Z', 'sunset_time': '2020-10-19T08:28:18Z'}",2020-10-18T13:00:00Z,21,10.0,,shower,Shower or two.,,
