date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-17T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 40}","{'category': 'high', 'end_time': '2020-10-18T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-17T22:40:00Z'}","{'sunrise_time': '2020-10-17T19:32:01Z', 'sunset_time': '2020-10-18T08:41:00Z'}",2020-10-17T13:00:00Z,15,11,"Cloudy. Medium (40%) chance of a shower, most likely this morning. Winds southerly 15 to 25 km/h becoming light in the evening.",shower,Possible shower.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 15, 'temp_later': 9}"
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': 'high', 'end_time': '2020-10-19T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-18T22:40:00Z'}","{'sunrise_time': '2020-10-18T19:30:39Z', 'sunset_time': '2020-10-19T08:42:00Z'}",2020-10-18T13:00:00Z,16,9,Partly cloudy. The chance of fog in the early morning. Medium (40%) chance of light showers. Light winds becoming southwesterly 15 to 20 km/h in the morning then tending southerly in the middle of the day.,mostly_sunny,Possible light shower.,Low-Moderate,
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 0}","{'category': 'high', 'end_time': '2020-10-20T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-19T22:40:00Z'}","{'sunrise_time': '2020-10-19T19:29:18Z', 'sunset_time': '2020-10-20T08:43:00Z'}",2020-10-19T13:00:00Z,19,8,The chance of morning fog. Mostly sunny afternoon. Light winds becoming south to southeasterly 15 to 20 km/h during the afternoon then becoming light during the evening.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'high', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 7, 'start_time': '2020-10-20T22:40:00Z'}","{'sunrise_time': '2020-10-20T19:27:59Z', 'sunset_time': '2020-10-21T08:44:00Z'}",2020-10-20T13:00:00Z,20,10,Partly cloudy. The chance of morning fog. Slight (20%) chance of a shower. Light winds becoming southerly 15 to 20 km/h during the afternoon then becoming light during the evening.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 20}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-21T19:26:40Z', 'sunset_time': '2020-10-22T08:45:01Z'}",2020-10-21T13:00:00Z,23,11,Humid. Partly cloudy. The chance of morning fog. Slight (20%) chance of a shower. The chance of a thunderstorm later in the day. Light winds.,mostly_sunny,Humid. Partly cloudy.,,
2020-10-22T13:00:00Z,"{'amount': {'min': 8, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-22T19:25:22Z', 'sunset_time': '2020-10-23T08:46:02Z'}",2020-10-22T13:00:00Z,21,13,Humid. Cloudy. Very high (90%) chance of showers. The chance of a thunderstorm. Winds north to northeasterly 15 to 25 km/h increasing to 35 km/h before shifting south to southwesterly 15 to 25 km/h during the day.,shower,Humid. Showers.,,
2020-10-23T13:00:00Z,"{'amount': {'min': 2, 'max': 8, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-23T19:24:05Z', 'sunset_time': '2020-10-24T08:47:03Z'}",2020-10-23T13:00:00Z,16,11,Partly cloudy. Very high (90%) chance of showers. Winds southerly 20 to 30 km/h turning southwesterly during the morning.,shower,Showers.,,
