date,rain,uv,astronomical,date,temp_max,temp_min,extended_text,icon_descriptor,short_text,fire_danger,now
2020-10-18T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 10}","{'category': 'veryhigh', 'end_time': '2020-10-19T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-18T22:30:00Z'}","{'sunrise_time': '2020-10-18T19:20:42Z', 'sunset_time': '2020-10-19T08:28:18Z'}",2020-10-18T13:00:00Z,22,6,Mostly sunny. The chance of light frost in the south early this morning. The chance of early fog near the New South Wales. Light winds. Daytime maximum temperatures between 15 and 21.,light_shower,Partly cloudy.,Low-Moderate,"{'is_night': False, 'now_label': 'Max', 'later_label': 'Overnight Min', 'temp_now': 22, 'temp_later': 7}"
2020-10-19T13:00:00Z,"{'amount': {'min': 0, 'max': None, 'units': 'mm'}, 'chance': 5}","{'category': 'veryhigh', 'end_time': '2020-10-20T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-19T22:20:00Z'}","{'sunrise_time': '2020-10-19T19:19:25Z', 'sunset_time': '2020-10-20T08:29:14Z'}",2020-10-19T13:00:00Z,24,7,Partly cloudy. The chance of fog in the north in the early morning. Light winds becoming north to northwesterly 15 to 20 km/h in the middle of the day then becoming light in the evening. Overnight temperatures falling to around 5 with daytime temperatures reaching between 17 and 23.,fog,Partly cloudy.,Low-Moderate,
2020-10-20T13:00:00Z,"{'amount': {'min': 0, 'max': 0.4, 'units': 'mm'}, 'chance': 30}","{'category': 'veryhigh', 'end_time': '2020-10-21T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-20T22:20:00Z'}","{'sunrise_time': '2020-10-20T19:18:09Z', 'sunset_time': '2020-10-21T08:30:10Z'}",2020-10-20T13:00:00Z,25,8,Patchy morning fog in the west. Partly cloudy day. Slight (30%) chance of a shower. Winds northeast to southeasterly 15 to 20 km/h tending northwest to northeasterly during the morning then tending southeast to southwesterly during the evening. Overnight temperatures falling to between 6 and 9 with daytime temperatures reaching between 17 and 24.,mostly_sunny,Partly cloudy.,Low-Moderate,
2020-10-21T13:00:00Z,"{'amount': {'min': 0, 'max': 2, 'units': 'mm'}, 'chance': 50}","{'category': 'veryhigh', 'end_time': '2020-10-22T05:20:00Z', 'max_index': 8, 'start_time': '2020-10-21T22:20:00Z'}","{'sunrise_time': '2020-10-21T19:16:54Z', 'sunset_time': '2020-10-22T08:31:07Z'}",2020-10-21T13:00:00Z,26,10,"Patchy morning fog near the New South Wales border. Partly cloudy day. Medium (50%) chance of showers in the east, slight (30%) chance elsewhere. The chance of a thunderstorm in the morning and afternoon. Winds southeast to southwesterly 15 to 20 km/h tending northwest to southwesterly 15 to 25 km/h during the morning then tending southeast to southwesterly 15 to 20 km/h during the evening. Overnight temperatures falling to around 8 with daytime temperatures reaching between 18 and 25.",shower,Shower or two.,Low-Moderate,
2020-10-22T13:00:00Z,"{'amount': {'min': 6, 'max': 15, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-22T19:15:41Z', 'sunset_time': '2020-10-23T08:32:04Z'}",2020-10-22T13:00:00Z,25,10,,shower,Showers.,,
2020-10-23T13:00:00Z,"{'amount': {'min': 10, 'max': 25, 'units': 'mm'}, 'chance': 90}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-23T19:14:28Z', 'sunset_time': '2020-10-24T08:33:02Z'}",2020-10-23T13:00:00Z,23,14,,shower,Showers.,,
2020-10-24T13:00:00Z,"{'amount': {'min': 0, 'max': 10, 'units': 'mm'}, 'chance': 60}","{'category': None, 'end_time': None, 'max_index': None, 'start_time': None}","{'sunrise_time': '2020-10-24T19:13:16Z', 'sunset_time': '2020-10-25T08:34:00Z'}",2020-10-24T13:00:00Z,21,11,,shower,Shower or two.,,
